fraction,decimal,sixty_fourths
1/64,0.015625,1
1/32,0.03125,2
3/64,0.046875,3
1/16,0.0625,4
5/64,0.078125,5
3/32,0.09375,6
7/64,0.109375,7
1/8,0.125,8
9/64,0.140625,9
5/32,0.15625,10
11/64,0.171875,11
3/16,0.1875,12
13/64,0.203125,13
7/32,0.21875,14
15/64,0.234375,15
1/4,0.25,16
17/64,0.265625,17
9/32,0.28125,18
19/64,0.296875,19
5/16,0.3125,20
21/64,0.328125,21
11/32,0.34375,22
23/64,0.359375,23
3/8,0.375,24
25/64,0.390625,25
13/32,0.40625,26
27/64,0.421875,27
7/16,0.4375,28
29/64,0.453125,29
15/32,0.46875,30
31/64,0.484375,31
1/2,0.5,32
33/64,0.515625,33
17/32,0.53125,34
35/64,0.546875,35
9/16,0.5625,36
37/64,0.578125,37
19/32,0.59375,38
39/64,0.609375,39
5/8,0.625,40
41/64,0.640625,41
21/32,0.65625,42
43/64,0.671875,43
11/16,0.6875,44
45/64,0.703125,45
23/32,0.71875,46
47/64,0.734375,47
3/4,0.75,48
49/64,0.765625,49
25/32,0.78125,50
51/64,0.796875,51
13/16,0.8125,52
53/64,0.828125,53
27/32,0.84375,54
55/64,0.859375,55
7/8,0.875,56
57/64,0.890625,57
29/32,0.90625,58
59/64,0.921875,59
15/16,0.9375,60
61/64,0.953125,61
31/32,0.96875,62
63/64,0.984375,63
