MANUFACTURER_NAME,MANUFACTURER_CODE,BRAND_NAME,BRAND_CODE,MATCH_ALIASES,SOURCE
3 M Co,5293,3 M Co,5293,3 m co,observed_input
3M Company,,3M™,3M,3m,curated_seed
A J Manufacturing Inc,AJMAN,A J Manufacturing Inc,AJMAN,a j manufacturing inc,observed_input
ACG Brands,1154,ACG Brands,1154,acg brands,observed_input
Amana Tool Corp,AMATO,Amana Tool Corp,AMATO,amana tool corp,observed_input
Appliance Dealers Cooperative,APPDE,Appliance Dealers Cooperative,APPDE,appliance dealers cooperative,observed_input
AZEK Building Products,,AZEK®,AZEK,azek,curated_seed
Black & Decker/dewlt,2585,Black & Decker/dewlt,2585,black & decker/dewlt,observed_input
Boise Cascade Building Materials,BOICA,Boise Cascade Building Materials,BOICA,boise cascade building materials,observed_input
Bow Products,BOWPR,Bow Products,BOWPR,bow products,observed_input
BSH Home Appliances,,Bosch®,BOSC,bosch,curated_seed
Certainteed Gypsum,2765,Certainteed Gypsum,2765,certainteed gypsum,observed_input
CMT USA Inc,CMTUS,CMT USA Inc,CMTUS,cmt usa inc,observed_input
Cooper Lighting,7638,Cooper Lighting,7638,cooper lighting,observed_input
Cooper Wiring Devices,3560,Cooper Wiring Devices,3560,cooper wiring devices,observed_input
DEWALT Industrial Tool Co,,DEWALT®,DEWA,dewalt|dwlt|dwt,curated_seed
Edge Eyewear Inc,,Edge®,EDGE,edge,curated_seed
Emseal Joint Systems Ltd,EMSJO,Emseal Joint Systems Ltd,EMSJO,emseal joint systems ltd,observed_input
Feit Electric,3468,Feit Electric,3468,feit electric,observed_input
Fenton Bros Electric Inc,FENBR,Fenton Bros Electric Inc,FENBR,fenton bros electric inc,observed_input
Festool USA,,Festool®,FEST,festool,curated_seed
First Alert - B R K Brands,2754,First Alert - B R K Brands,2754,first alert - b r k brands,observed_input
Freud Inc,,Diablo®,DIAB,diablo,curated_seed
GE Appliances,,GE®,GE,ge|g.e.,curated_seed
Hager Hinge Co,4189,Hager Hinge Co,4189,hager hinge co,observed_input
Huber Eng Wood LLC,3158,Huber Eng Wood LLC,3158,huber eng wood llc,observed_input
Hunter Fan Co,4381,Hunter Fan Co,4381,hunter fan co,observed_input
Hunter Fan Company,,Hunter®,HUNT,hunter,curated_seed
Irwin Industrial Tools,5863,Irwin Industrial Tools,5863,irwin industrial tools,observed_input
J&G Machinery,JGMAC,J&G Machinery,JGMAC,j&g machinery,observed_input
Jam Industrial Supply LLC,JAMIN,Jam Industrial Supply LLC,JAMIN,jam industrial supply llc,observed_input
JPW Industries,JPWIN,JPW Industries,JPWIN,jpw industries,observed_input
Keystone,5702,Keystone,5702,keystone,observed_input
Kichler Lighting,,Kichler®,KICH,kichler,curated_seed
King Canada Inc,KINCA,King Canada Inc,KINCA,king canada inc,observed_input
Kreg Tool Company,,Kreg®,KREG,kreg,curated_seed
Leviton Manufacturing Co,,Leviton®,LEVI,leviton,curated_seed
Leviton Mfg Co,4927,Leviton Mfg Co,4927,leviton mfg co,observed_input
LG Electronics,,LG®,LG,lg,curated_seed
Lithonia Lighting,2776,Lithonia Lighting,2776,lithonia lighting,observed_input
Makita U.S.A. Inc,,Makita®,MAKI,makita,curated_seed
Makita Usa Inc,5142,Makita Usa Inc,5142,makita usa inc,observed_input
Malco Prod,2370,Malco Prod,2370,malco prod,observed_input
Marshalltown Trowel,5155,Marshalltown Trowel,5155,marshalltown trowel,observed_input
Maxsa Innovations,MAXIN,Maxsa Innovations,MAXIN,maxsa innovations,observed_input
